Rk,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards,Player-additional
175,Gardner Minshew II,27,IND,QB,17,13,0,0,0,0,0,0,8,2,5,0,0.0,0,0,0,0,0,0,PB,MinsGa00
176,Keisean Nixon,26,GNB,CB,17,13,1,2,0,2,6,0,3,2,0,0,0.5,80,59,21,3,1,0,AP-1,NixoKe00
177,Josh Reynolds,28,DET,WR,17,13,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,ReynJo00
178,A'Shawn Robinson,28,NYG,DL,17,13,0,0,0,0,2,0,0,0,0,0,0.0,62,34,28,6,1,0,,RobiAS00
179,Alontae Taylor,25,NOR,CB,17,13,2,16,0,16,14,1,0,0,0,0,1.0,75,56,19,6,1,0,,TaylAl01
180,Jack Campbell,23,DET,LB,17,12,0,0,0,0,1,0,0,0,0,0,2.0,95,52,43,5,3,0,AP DRoY-8,CampJa04
181,Jerome Ford,24,CLE,RB,17,12,0,0,0,0,0,0,1,2,0,0,0.0,0,0,0,0,0,0,,FordJe00
182,Lawrence Guy,33,NWE,RDE,17,12,0,0,0,0,1,0,0,0,0,0,0.0,38,16,22,1,0,0,,GuyxLa00
183,Chuba Hubbard,24,CAR,RB,17,12,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,HubbCh01
184,Derion Kendrick,23,LAR,DB,17,12,1,0,0,0,10,0,0,0,0,0,0.0,49,41,8,3,0,0,,KendDe00
185,Julian Love,25,SEA,S,17,12,4,7,0,7,10,2,0,1,3,0,0.0,123,85,38,1,0,0,PB,LoveJu00
186,Trey McBride,24,ARI,TE,17,12,0,0,0,0,0,0,1,0,0,0,0.0,1,1,0,0,0,0,,McBrTr01
187,Elijah Moore,23,CLE,WR,17,12,0,0,0,0,0,0,2,1,-9,0,0.0,0,0,0,0,0,0,,MoorEl00
188,Amik Robertson,25,LVR,CB,17,12,2,40,0,40,6,1,0,0,0,0,1.0,50,38,12,2,1,0,,RobeAm00
189,Joe Tryon-Shoyinka,24,TAM,OLB,17,12,0,0,0,0,1,1,0,1,0,0,5.0,45,28,17,7,7,0,,TryoJo00
