Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,Player-additional
4,103,NOR,Nick Saldiveri,OL,23,2024,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,,,,Old Dominion,College Stats,SaldNi00
4,104,LVR,Jakorian Bennett,DB,23,2024,0,0,1,2,2,24,0,0,0,0,0,0,0,0,0,0,0,39,,,Maryland,College Stats,BennJa00
4,105,PHI,Kelee Ringo,DB,21,2024,0,0,0,2,2,28,0,0,0,0,0,0,0,0,0,0,0,23,1,1.0,Georgia,College Stats,RingKe00
4,106,IND,Blake Freeland,OL,22,2024,0,0,1,5,5,20,0,0,0,0,0,0,0,0,0,0,0,,,,BYU,College Stats,FreeBl00
4,107,NWE,Jake Andrews,OL,23,2023,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0,,,,Troy,College Stats,AndrJa00
4,108,SEA,Anthony Bradford,OL,22,2024,0,0,2,4,4,25,0,0,0,0,0,0,0,0,0,0,0,,,,LSU,College Stats,BradAn00
4,109,HOU,Dylan Horton,DL,23,2024,0,0,0,1,1,18,0,0,0,0,0,0,0,0,0,0,0,10,,,TCU,College Stats,HortDy00
4,110,IND,Adetomiwa Adebawore,DL,22,2024,0,0,0,1,1,22,0,0,0,0,0,0,0,0,0,0,0,9,,2.5,Northwestern,College Stats,AdebAd00
4,111,CLE,Dawand Jones,OL,22,2024,0,0,2,4,4,21,0,0,0,0,0,0,0,0,0,0,0,,,,Ohio St.,College Stats,JoneDa07
4,112,NWE,Chad Ryland,K,23,2024,0,0,1,0,0,24,0,0,0,0,0,0,0,0,0,0,0,,,,Maryland,College Stats,RylaCh00
4,113,ATL,Clark Phillips,CB,21,2024,0,0,0,2,2,22,0,0,0,0,0,0,0,0,0,0,0,42,1,,Utah,College Stats,PhilCl00
4,114,CAR,Chandler Zavala,G,24,2024,0,0,0,2,2,21,0,0,0,0,0,0,0,0,0,0,0,,,,North Carolina St.,College Stats,ZavaCh00
4,115,CHI,Roschon Johnson,RB,22,2024,0,0,0,4,4,25,0,0,0,0,0,129,491,8,45,297,0,,,,Texas,College Stats,JohnRo07
4,116,GNB,Colby Wooden,DE,22,2024,0,0,0,1,1,24,0,0,0,0,0,0,0,0,0,0,0,14,,0.5,Auburn,College Stats,WoodCo01
4,117,NWE,Sidy Sow,OL,25,2024,0,0,1,4,4,24,0,0,0,0,0,0,0,0,0,0,0,,,,Eastern Michigan,College Stats,SowxSi00
4,118,WAS,Braeden Daniels,OL,23,,0,0,0,,,,,,,,,,,,,,,,,,Utah,College Stats,DaniBr00
4,119,KAN,Chamarri Conner,DB,23,2024,0,0,0,3,3,28,0,0,0,0,0,0,0,0,0,0,0,70,3,1.0,Virginia Tech,College Stats,ConnCh01
4,120,NYJ,Carter Warren,OL,24,2024,0,0,0,2,2,10,0,0,0,0,0,0,0,0,0,0,0,,,,Pittsburgh,College Stats,WarrCa00
4,121,JAX,Ventrell Miller,LB,24,2024,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,49,,,Florida,College Stats,MillVe00
4,122,ARI,Jon Gaines,OL,24,2024,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,,,,UCLA,College Stats,GainJo00
4,123,SEA,Cameron Young,DT,23,2024,0,0,0,1,1,17,0,0,0,0,0,0,0,0,0,0,0,10,,,Mississippi St.,College Stats,YounCa00
4,124,BAL,Tavius Robinson,DE,24,2024,0,0,0,2,2,29,0,0,0,0,0,0,0,0,0,0,0,21,,4.5,Mississippi,College Stats,RobiTa00
4,125,LAC,Derius Davis,WR,22,2024,0,0,0,2,2,26,0,0,0,0,0,21,144,0,20,109,0,,,,TCU,College Stats,DaviDe02
4,126,CLE,Isaiah McGuire,DL,22,2024,0,0,0,1,1,14,0,0,0,0,0,0,0,0,0,0,0,15,,1.5,Missouri,College Stats,McGuIs00
4,127,NOR,Jake Haener,QB,24,2024,0,0,0,0,0,6,14,29,177,1,0,9,16,0,0,0,0,,,,Fresno St.,College Stats,HaenJa00
4,128,LAR,Stetson Bennett,QB,25,,0,0,0,,,,,,,,,,,,,,,,,,Georgia,College Stats,BennSt00
4,129,DAL,Viliami Fehoko,DL,23,,0,0,0,,,,,,,,,,,,,,,,,,San Jose St.,College Stats,FehoVi00
4,130,JAX,Tyler Lacy,DE,23,2024,0,0,1,1,1,24,0,0,0,0,0,0,0,0,0,0,0,12,,,Oklahoma St.,College Stats,LacyTy00
4,131,CIN,Charlie Jones,WR,24,2024,0,0,0,2,2,19,0,0,0,0,0,2,13,0,8,69,0,,,,Purdue,College Stats,JoneCh11
4,132,PIT,Nick Herbig,OLB,21,2024,0,0,0,2,2,24,0,0,0,0,0,0,0,0,0,0,0,29,,6.5,Wisconsin,College Stats,HerbNi00
4,133,CHI,Tyler Scott,WR,21,2024,0,0,0,2,2,24,0,0,0,0,0,7,41,0,17,168,0,,,,Cincinnati,College Stats,ScotTy00
4,134,MIN,Jay Ward,S,23,2024,0,0,0,1,1,28,0,0,0,0,0,0,0,0,0,0,0,8,,,LSU,College Stats,WardJa00
4,135,LVR,Aidan O'Connell,QB,25,2024,0,0,1,6,6,15,265,425,2673,14,9,17,11,1,0,0,0,,,,Purdue,College Stats,OConAi00
5,136,JAX,Yasir Abdullah,LB,23,2024,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,14,,,Louisville,College Stats,AbduYa00
5,137,WAS,K.J. Henry,DE,24,2024,0,0,0,2,2,14,0,0,0,0,0,0,0,0,0,0,0,15,,2.5,Clemson,College Stats,HenrKJ00
5,138,IND,Darius Rush,DB,23,2024,0,0,0,0,,5,0,0,0,0,0,0,0,0,0,0,0,2,,,South Carolina,College Stats,RushDa00
5,139,ARI,Clayton Tune,QB,24,2024,0,0,0,0,0,11,12,21,62,0,2,13,25,1,0,0,0,,,,Houston,College Stats,TuneCl00
5,140,CLE,Dorian Thompson-Robinson,QB,23,2024,0,0,0,1,1,11,71,137,522,1,6,17,109,0,0,0,0,,,,UCLA,College Stats,ThomDo02
5,141,MIN,Jaquelin Roy,DT,22,2024,0,0,0,1,1,18,0,0,0,0,0,0,0,0,0,0,0,15,,2.0,LSU,College Stats,RoyxJa00
5,142,CLE,Cameron Mitchell,DB,21,2024,0,0,0,2,2,24,0,0,0,0,0,0,0,0,0,0,0,24,,1.0,Northwestern,College Stats,MitcCa01
5,143,NYJ,Israel Abanikanda,RB,20,2023,0,0,0,1,1,6,0,0,0,0,0,22,70,0,7,43,0,,,,Pittsburgh,College Stats,AbanIs00
5,144,NWE,Atonio Mafi,OL,22,2024,0,0,0,2,2,19,0,0,0,0,0,0,0,0,0,0,0,,,,UCLA,College Stats,MafiAt00
5,145,CAR,Jammie Robinson,DB,22,2024,0,0,0,1,1,21,0,0,0,0,0,0,0,0,0,0,0,13,,,Florida St.,College Stats,RobiJa03
5,146,NOR,Jordan Howden,DB,23,2024,0,0,0,3,3,27,0,0,0,0,0,0,0,0,0,0,0,43,1,1.0,Minnesota,College Stats,HowdJo00
5,147,TEN,Josh Whyle,TE,23,2024,0,0,0,1,1,22,0,0,0,0,0,0,0,0,24,242,1,3,,,Cincinnati,College Stats,WhylJo01
5,148,CHI,Noah Sewell,LB,21,2024,0,0,0,1,1,20,0,0,0,0,0,0,0,0,0,0,0,7,,,Oregon,College Stats,SeweNo00
5,149,GNB,Sean Clifford,QB,25,2023,0,0,0,0,0,2,1,1,37,0,0,3,-2,0,0,0,0,,,,Penn St.,College Stats,ClifSe00
5,150,BUF,Justin Shorter,WR,23,2024,0,0,0,0,,5,0,0,0,0,0,0,0,0,0,0,0,,,,Florida,College Stats,ShorJu00
5,151,SEA,Mike Morris,DE,22,2024,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,5,,,Michigan,College Stats,MorrMi00
